postcode_district,region,practice_count,total_eligible,total_vaccinated,coverage
B6,NHS Birmingham and Solihull ICB,3,281,223,79.4
AL9,NHS Hertfordshire and West Essex ICB,1,78,62,79.5
M1,NHS Greater Manchester ICB,2,88,70,79.5
SW6,NHS North West London ICB,10,1013,805,79.5
LS7,NHS West Yorkshire ICB,5,499,397,79.6
PE1,NHS Cambridgeshire and Peterborough ICB,6,1251,997,79.7
B5,NHS Birmingham and Solihull ICB,1,104,83,79.8
LS17,NHS West Yorkshire ICB,2,425,339,79.8
M16,NHS Greater Manchester ICB,5,451,360,79.8
SE16,NHS South East London ICB,4,408,326,79.9
L16,NHS Cheshire and Merseyside ICB,1,15,12,80.0
L20,NHS Cheshire and Merseyside ICB,7,435,348,80.0
SE8,NHS South East London ICB,3,255,204,80.0
SW10,NHS North West London ICB,2,171,137,80.1
NN1,NHS Northamptonshire ICB,6,774,621,80.2
B42,NHS Birmingham and Solihull ICB,2,268,216,80.6
E6,NHS North East London ICB,8,1054,849,80.6
RH18,NHS Sussex ICB,1,67,54,80.6
SE28,NHS South East London ICB,2,299,241,80.6
N11,NHS North Central London ICB,4,404,326,80.7
B36,NHS Birmingham and Solihull ICB,6,511,413,80.8
HP1,NHS Hertfordshire and West Essex ICB,1,167,135,80.8
L11,NHS Cheshire and Merseyside ICB,5,343,277,80.8
EN8,NHS Hertfordshire and West Essex ICB,4,414,335,80.9
HA2,NHS North West London ICB,8,738,597,80.9
SE12,NHS South East London ICB,1,94,76,80.9
EN9,NHS Hertfordshire and West Essex ICB,2,247,200,81.0
TW13,NHS North West London ICB,7,480,389,81.0
BD14,NHS West Yorkshire ICB,1,95,77,81.1
SW16,Multiple regions,11,1029,835,81.1
UB8,NHS North West London ICB,6,502,407,81.1
W6,NHS North West London ICB,4,417,338,81.1
BD8,NHS West Yorkshire ICB,8,966,784,81.2
NW5,NHS North Central London ICB,5,426,346,81.2
SE2,NHS South East London ICB,3,310,252,81.3
W13,NHS North West London ICB,6,434,353,81.3
EC1A,NHS North East London ICB,1,43,35,81.4
NW9,Multiple regions,10,854,695,81.4
UB6,NHS North West London ICB,8,517,421,81.4
UB7,NHS North West London ICB,4,505,411,81.4
B66,NHS Black Country ICB,6,491,400,81.5
EN7,NHS Hertfordshire and West Essex ICB,2,168,137,81.5
SE21,NHS South East London ICB,2,254,207,81.5
KT5,NHS South West London ICB,1,38,31,81.6
S1,NHS South Yorkshire ICB,1,38,31,81.6
TW10,NHS South West London ICB,1,76,62,81.6
HD4,NHS West Yorkshire ICB,2,104,85,81.7
L9,NHS Cheshire and Merseyside ICB,8,623,509,81.7
RM10,NHS North East London ICB,7,721,589,81.7
SE25,NHS South West London ICB,5,458,374,81.7
CM20,NHS Hertfordshire and West Essex ICB,3,466,381,81.8
GU25,NHS Surrey Heartlands ICB,1,33,27,81.8
IG1,NHS North East London ICB,9,1327,1085,81.8
M18,NHS Greater Manchester ICB,2,242,198,81.8
B28,NHS Birmingham and Solihull ICB,2,409,335,81.9
BS6,"NHS Bristol, North Somerset and South Gloucestershire ICB",3,221,181,81.9
W7,NHS North West London ICB,6,393,322,81.9
BD3,NHS West Yorkshire ICB,7,710,583,82.1
HA1,NHS North West London ICB,7,521,428,82.1
RM8,NHS North East London ICB,7,911,748,82.1
SE15,NHS South East London ICB,8,649,533,82.1
SE4,NHS South East London ICB,1,67,55,82.1
W3,NHS North West London ICB,11,588,483,82.1
DA16,NHS South East London ICB,5,518,426,82.2
M11,NHS Greater Manchester ICB,7,602,495,82.2
TW14,NHS North West London ICB,6,360,296,82.2
TW5,NHS North West London ICB,4,338,278,82.2
E13,NHS North East London ICB,8,996,820,82.3
E8,NHS North East London ICB,6,443,365,82.4
BD6,NHS West Yorkshire ICB,2,217,179,82.5
E3,NHS North East London ICB,7,783,646,82.5
RM6,NHS North East London ICB,5,497,410,82.5
